#{"t_start": 1764808870.413026, "env_id": "Ant-v5"}
r,l,t
-63.714976,117,169.342499
-41.469437,26,169.375542
-36.961945,67,169.451936
-715.833902,1000,170.521066
-22.992806,36,170.560174
-64.239919,102,170.6721
-49.718025,56,170.728685
-2.307978,17,170.744913
-51.323838,62,170.811688
-11.017611,90,170.901603
-42.811331,26,170.924914
-46.958659,42,170.967359
-23.597969,16,170.985032
-20.595731,40,171.030588
-37.478716,49,171.09136
-26.121639,14,171.106803
-18.233516,109,171.209688
-22.881393,85,171.300574
-41.69014,64,171.364593
-75.240094,72,171.431374
-19.515757,15,171.445796
-28.536886,36,171.478846
-30.43057,66,171.816442
-28.959332,85,171.893145
-6.959294,31,171.921432
-43.649007,51,171.967093
-14.027106,35,171.999417
-20.477631,17,172.014976
-609.408933,1000,172.976532
-26.515084,42,173.018009
-51.879625,66,173.083104
-60.308281,54,173.13658
-10.593429,20,173.158037
-83.505884,114,173.268579
-20.730342,16,173.284234
-17.516396,28,173.311159
-29.045008,26,173.335871
-52.826309,52,173.385092
-31.362845,45,173.42749
-18.941729,35,173.461087
-20.09015,26,173.485052
-19.669458,13,173.497575
-43.410487,65,173.558432
-105.486953,152,173.703131
-45.396762,58,174.046933
-106.431223,87,174.130059
-0.874427,24,174.151889
5.498695,39,174.187602
-3.644161,22,174.208179
-43.705194,54,174.259523
-45.610567,45,174.300627
-36.900618,70,174.364499
-152.787254,159,174.512357
-679.523076,1000,176.526506
-25.721829,21,176.55354
-7.42267,23,176.581962
-12.035409,26,176.613628
-122.34522,234,176.909419
-28.794773,46,176.965789
-86.989156,105,177.096354
11.290242,26,177.131309
-5.853632,45,177.550898
-38.870727,42,177.604634
-55.309033,210,177.866979
-67.201944,45,177.923462
-23.326693,48,177.971004
-6.112329,13,177.982726
-37.574778,20,178.005412
-24.480607,55,178.07112
-16.273837,72,178.160161
-15.281417,26,178.193725
-60.865021,69,178.277618
-9.121471,12,178.292114
-38.455392,76,178.380699
-6.18739,14,178.395489
-10.552031,29,178.421788
-7.955417,40,178.458066
-97.775608,129,178.580134
-20.219347,21,178.59875
-55.182547,56,178.649653
-656.087694,1000,179.583551
-0.647391,21,179.602536
-28.014139,28,179.628719
-2.464819,21,179.920727
-3.580556,20,179.939487
-38.938856,26,179.961619
-46.704976,27,179.986649
-49.450464,59,180.038066
-30.37702,58,180.090193
-45.300297,48,180.135366
-20.811333,30,180.165382
5.689013,40,180.202093
-16.171905,37,180.236089
-671.571901,1000,181.174927
-38.551185,36,181.207062
-102.936282,119,181.321537
0.153044,15,181.335722
8.066933,49,181.381249
-19.430239,29,181.407997
-33.994687,34,181.439602
-18.110607,23,181.461403
-7.403346,24,181.483132
-40.261141,41,181.521104
-11.019922,27,181.546329
-101.521822,133,181.668542
-46.267875,47,181.712326
-91.505456,62,181.769876
-48.66112,62,182.097538
-13.26452,19,182.114581
-1.668829,24,182.13616
-9.617387,12,182.147861
-22.605146,30,182.175869
-68.927669,41,182.21365
-50.381184,41,182.251981
-19.333661,46,182.295492
-14.208238,13,182.307159
-17.082217,59,182.362311
-90.010595,104,182.458075
-42.886234,65,182.516734
-10.227779,15,182.530829
-38.802331,61,182.586404
-17.875989,46,182.627323
-29.206781,27,182.651289
-84.888289,44,182.691101
-38.11508,100,182.781758
-13.593249,13,182.793779
-16.524437,36,182.826888
-13.819056,22,182.846303
-3.382577,49,182.891732
-23.635799,14,182.90445
-33.716072,51,182.953218
-6.551786,17,182.969134
16.127577,28,182.995592
-28.416154,31,183.023987
-36.822901,130,183.142531
-18.780456,19,183.159713
-42.403421,49,183.204361
-43.72551,32,183.235413
-4.954338,20,183.254438
-32.186183,27,183.279208
-10.330615,13,183.290576
-53.842881,91,183.374472
-29.043552,36,183.40702
-24.809406,60,183.462835
-13.689973,19,183.480982
1.833945,41,183.518781
-8.683937,11,183.528503
-12.877988,59,183.582659
-11.501032,12,183.594011
-76.530118,107,183.689846
-19.984606,29,183.71529
-76.900947,96,183.803339
-14.05851,14,183.817432
10.019338,54,183.866509
-3.079322,51,183.914237
8.666743,17,183.929211
-29.293151,42,184.242078
-7.141433,22,184.262374
-19.784398,20,184.280773
-31.601142,98,184.371442
-8.98528,25,184.394184
-18.944793,29,184.421456
-49.972444,55,184.471809
-78.636031,143,184.633804
-86.150325,47,184.681597
-9.61685,16,184.697111
-16.997985,22,184.719113
-16.790257,51,184.773835
-43.210789,31,184.8069
-20.940794,29,184.836498
-29.071311,29,184.865442
-79.735796,117,184.984038
-120.22134,189,185.164027
-50.032641,54,185.216141
-12.888587,16,185.237861
-40.63165,55,185.309177
-37.839318,44,185.364947
-18.468827,33,185.40724
-4.34943,15,185.426279
-39.119483,84,185.530117
-7.887548,68,185.614712
-29.070677,45,185.668992
-5.194495,32,185.706876
-9.208278,37,185.749794
-5.017034,12,185.764434
-31.439629,18,185.786533
-19.099577,27,185.816725
-16.378463,20,185.840614
-18.204528,55,185.905792
-16.134009,27,185.938254
-10.569952,35,185.980037
-31.412036,19,186.004653
-12.207377,17,186.025887
-70.88132,66,186.103472
-50.422507,28,186.136363
-32.687994,28,186.172939
6.912127,66,186.253025
-3.537121,49,186.309567
-21.196015,45,186.361969
14.239718,25,186.391588
-72.518045,67,186.468994
8.140904,46,186.843304
