#{"t_start": 1765339557.8015175, "env_id": "Ant-v5"}
r,l,t
-1.304281,20,85.310028
-32.051168,30,85.335339
-56.408589,42,85.370707
-27.789289,50,85.413517
-74.403234,113,85.508688
-9.473825,10,85.517138
-32.100454,14,85.528882
-17.994203,20,85.545854
5.623871,22,85.564326
-3.000308,13,85.57536
-16.79275,24,85.595644
-8.247579,24,85.615894
31.51711,53,85.660503
-34.524117,23,85.679816
-8.474379,13,85.690954
-8.77097,18,85.706252
-3.084579,25,85.727255
-19.705809,39,85.760016
-16.477061,17,85.774337
-1.825345,51,85.817168
-16.220073,29,85.841573
-30.00365,28,85.865025
-36.560165,29,85.88946
-59.548472,38,85.92155
3.077407,28,85.944949
-3.119785,24,85.965292
-10.887363,17,85.979476
-9.395935,44,86.016629
-42.734031,26,86.038475
-2.27341,20,86.055498
-58.071454,56,86.102407
-17.752803,19,86.118408
-11.869924,22,86.136869
-27.212059,18,86.151966
-30.778871,40,86.185325
-40.079837,51,86.228261
-4.677305,14,86.240184
-21.809081,18,86.255194
-79.489161,134,86.367595
0.472804,44,86.405438
-796.111072,1000,87.520297
-60.841852,86,87.593038
-52.977307,137,87.708113
-42.807416,30,87.73367
-29.221029,51,87.776865
-82.57212,71,87.837074
-17.957869,16,87.85059
-34.71494,39,87.88395
-5.665383,20,87.901059
-8.161372,14,87.912842
-37.459718,31,87.93918
-23.473984,27,87.961774
-40.372167,43,87.99814
-6.77902,43,88.034158
-0.51716,26,88.056069
-29.194485,48,88.096321
-7.102826,17,88.110654
-25.771398,25,88.131639
-81.491537,102,88.217948
-2.482508,17,88.232307
-35.415566,26,88.254251
-10.510762,14,88.266008
-68.145943,68,88.323138
-44.832312,63,88.376504
-8.222882,24,88.39666
-13.498849,25,88.417798
-28.908313,75,88.480502
-48.732989,55,88.527066
-47.063084,56,88.574072
-10.791561,16,88.587544
-16.084055,25,88.60845
5.666259,46,88.646969
-10.330888,13,88.657964
-1.383796,34,88.686617
-19.513548,33,88.714333
-38.698859,35,88.743729
1.85997,13,88.754815
-10.314608,23,88.774209
-33.198644,38,88.80608
-147.356095,122,88.908323
-68.081054,40,89.197622
-32.191098,44,89.235056
5.067226,27,89.258038
-816.654141,1000,90.114792
13.168596,26,90.136826
-2.40746,13,90.147846
13.136912,55,90.194207
-34.383835,42,90.229528
-42.085085,55,90.275792
-22.961173,23,90.295447
-20.327247,23,90.314694
