#{"t_start": 1764883055.9193907, "env_id": "Ant-v5"}
r,l,t
-6.796314,17,92.941598
-47.596692,82,93.293364
-27.75251,34,93.327991
-172.893707,265,93.576314
-64.15434,94,93.662808
-25.311011,65,93.72274
-57.643688,44,93.762842
-38.726703,38,93.798306
-41.485395,41,93.83474
-123.739214,190,94.010654
-90.45075,93,94.095836
-58.823327,49,94.139914
-22.83464,14,94.153235
-18.245986,27,94.177929
-863.982554,1000,95.1304
-51.061652,78,95.523011
-0.955233,11,95.534006
-11.989725,15,95.548098
-37.783312,27,95.571813
-9.873887,23,95.593322
-12.931326,13,95.604514
1.600422,14,95.617303
-23.471684,91,95.701417
-129.242367,134,95.82482
-8.561766,16,95.839437
-55.093943,46,95.881324
-1.132757,18,95.897949
-47.273732,27,95.921954
34.45217,55,95.974793
-19.240968,39,96.009891
-12.951016,17,96.026047
-19.08296,43,96.065228
-8.88291,21,96.084293
-32.467318,32,96.113937
10.554953,43,96.154109
-39.931317,32,96.191729
-876.384562,1000,97.156854
-112.30994,117,97.26706
-13.021727,14,97.279433
-50.649257,63,97.338187
-24.128306,26,97.361891
-63.100061,41,97.401446
-27.689469,25,97.424757
6.037089,18,97.440781
-59.746993,45,97.761097
-61.882026,71,97.828764
-17.535638,15,97.845672
-40.253815,35,97.876575
-57.036768,51,97.923258
-36.373121,26,97.947715
-2.971616,15,97.961893
-19.403613,16,97.97681
3.217393,69,98.040034
-81.302516,36,98.073697
-7.678362,15,100.115604
-31.613551,45,100.156609
-8.813039,42,100.196283
-812.224916,1000,101.204051
-52.871495,38,101.242793
-17.354053,33,101.273859
-210.32786,141,101.404417
-13.16948,25,101.428055
-20.579385,44,101.467159
-9.018429,27,101.492173
-30.070356,18,101.508462
-20.650821,33,101.542246
-31.918704,33,101.573977
-3.607119,77,101.654835
-20.765451,24,101.676812
-29.523743,22,101.697624
-35.063819,52,101.745964
-10.016389,21,101.765277
-864.086894,1000,103.018678
-27.470156,20,103.036566
-55.286628,76,103.117788
-17.250408,19,103.135761
-123.804022,117,103.25038
-24.319807,30,103.278827
-92.750461,100,103.370894
-16.446399,16,103.386776
-21.943442,46,103.430702
-12.004686,50,103.487596
-36.542869,39,103.524101
-51.54381,57,103.57878
-35.107069,21,103.598662
-59.942433,59,103.653561
-1.493805,22,103.673638
-53.707774,51,103.721357
-17.121853,24,103.743215
-43.958501,63,103.800155
-40.040034,54,103.855146
-66.880709,36,103.888772
-5.087961,16,103.903727
-22.028418,52,103.95206
-28.604357,28,103.977198
-24.598562,44,104.017021
-67.331745,31,104.352648
-20.904186,26,104.376494
-21.929304,50,104.42288
-11.126302,13,104.435349
-82.340045,98,104.527038
-106.103219,128,104.667392
-5.300542,44,104.707833
-79.727891,98,104.805913
-149.618952,117,104.912373
-130.86865,117,105.027368
-29.214116,40,105.064408
-103.163101,96,105.154824
-54.152601,96,105.250716
-48.982567,43,105.290524
-82.166091,65,105.351275
-17.391835,14,105.369909
-69.972204,68,105.435322
-866.244641,1000,106.719084
-6.021472,36,106.757803
-0.382121,60,106.815043
-5.30482,33,106.844763
4.238166,29,106.871073
-57.220263,124,106.986457
-16.281586,40,107.023376
-29.873391,34,107.053692
-72.462151,49,107.098987
-20.667566,36,107.132883
-57.663581,82,107.206941
-10.671102,39,107.247068
-46.327627,47,107.293979
-17.871164,29,107.321086
-124.492523,99,107.412066
-6.260866,29,107.438191
-179.288152,129,107.556451
-59.398789,78,107.629663
-16.269198,66,107.693673
-8.546178,23,107.715866
-187.56991,177,107.878921
-146.46857,74,107.946012
-18.714284,14,107.959518
-8.699251,20,107.978414
-28.818359,26,108.00252
-12.927531,115,108.108565
-10.544489,55,108.159724
-5.363312,12,108.170871
-45.006141,57,108.223617
-19.432465,16,108.238369
-8.169449,17,108.254419
-25.989972,21,108.274514
-5.725763,15,108.288558
-40.98144,59,108.34328
-39.730096,68,108.40745
-90.216531,49,108.454865
-11.185213,37,108.489557
-14.096224,49,108.533338
-19.635438,16,108.548352
-4.117864,13,108.852418
-14.302314,38,108.886595
-99.570289,106,108.987334
-24.394348,24,109.009692
-37.347911,36,109.045003
-24.916625,28,109.072911
2.87751,30,109.101575
-5.980022,16,109.117327
-57.98805,51,109.166781
-859.531505,1000,110.137871
-36.94857,121,110.258029
-882.214621,1000,114.861166
-57.19837,55,114.91265
-5.019742,30,114.940355
-22.252291,69,115.004291
-9.544271,12,115.014654
-632.788397,869,115.830105
-25.359692,46,115.872344
-79.084734,81,115.948374
-62.339776,84,116.027136
-1.272731,25,116.049826
-25.663562,40,116.0869
-21.306968,89,116.168624
-15.665294,40,116.205784
-4.343422,26,116.22975
-21.402619,30,116.258281
-649.308614,1000,117.494078
-14.92545,28,117.521521
-35.382208,70,117.586257
-52.250055,89,117.66713
-30.184709,49,117.713691
-4.001292,17,117.729696
-14.200832,17,117.745979
-5.655136,16,117.760336
-61.20016,55,117.815064
-64.229313,91,117.899105
-50.530585,65,117.958649
-862.590256,1000,119.216857
-35.799035,44,119.25796
-29.509649,25,119.282362
-38.199742,38,119.316621
-2.331612,15,119.330265
-43.937052,64,119.390294
5.394292,21,119.409654
-54.32878,101,119.501221
-69.830431,56,119.552982
-2.069151,10,119.562762
-835.783781,1000,120.501539
8.746778,60,120.557109
-831.370784,1000,121.784667
-25.424932,54,121.83395
-831.976691,1000,122.786
-8.980303,65,122.847929
-15.32229,25,122.873402
-38.30375,36,122.90739
-8.767928,14,122.920054
-30.596813,29,122.9521
-112.73297,59,123.007463
-146.543823,165,123.444938
-20.551987,57,123.49822
3.795563,21,123.516681
-43.407909,24,123.539138
-22.945232,34,123.573774
-73.053558,106,123.676387
-12.585639,13,123.687579
-24.430222,36,123.729412
-51.656319,31,123.761217
-52.79451,86,123.846861
-71.688441,67,123.91073
-39.298797,31,123.940469
-43.584959,67,124.007637
-3.281564,23,124.028946
-72.350162,56,124.079932
-64.472356,69,124.144557
-57.010422,61,124.208874
-11.280432,17,124.225083
-18.668312,34,124.256883
-9.885435,16,124.271621
-788.988108,1000,126.445975
-22.977169,26,126.477267
-84.399918,55,126.531253
-76.665759,85,126.893539
-744.963571,1000,127.845896
-91.217411,123,127.962903
-68.590399,93,128.049189
-16.825475,21,128.069832
-111.599778,81,128.145708
3.844389,17,128.165132
-21.124042,30,128.19376
-9.026914,13,128.205103
-33.259016,35,128.237136
-11.536726,54,128.288018
-13.019855,19,128.304762
-19.794631,21,128.325051
-12.155808,41,128.362996
-147.693738,141,128.491782
-7.258793,20,128.510372
-9.438927,38,128.545877
-42.913409,49,128.59287
-67.847412,68,128.655411
-72.915061,43,128.695023
-46.659501,58,128.748918
-29.859762,18,128.76481
-13.911879,34,129.085874
-44.50622,35,129.119589
-11.426615,13,129.131406
-32.368467,33,129.161986
-3.298295,19,129.180159
-23.594429,41,129.218374
-28.595285,29,129.244316
-789.027659,1000,130.189364
-12.39677,36,130.222222
-20.164024,17,130.2386
-17.105571,47,130.281856
-39.081232,56,130.332273
-33.865135,51,130.379869
-6.080652,17,130.400774
-62.879028,78,130.477075
-23.349678,71,130.541493
-43.570355,35,130.573601
-24.650137,26,130.597445
-63.999341,45,130.638357
-8.944815,19,130.65634
-61.239086,50,130.701967
-12.325444,9,130.710019
-34.796687,30,130.736896
-24.526833,31,130.765882
-4.354963,25,130.788947
-64.744272,32,130.818678
-18.238927,21,130.838412
-19.307478,25,130.861
-57.875796,41,130.898763
-22.718424,42,130.937395
-49.266088,40,130.973886
-29.064701,23,131.290619
-30.90367,70,131.354509
-42.939108,44,131.394093
-4.625609,16,131.40777
-5.87519,24,131.429856
-57.468576,67,131.491426
-15.663321,13,131.502889
4.462748,31,131.53175
-12.821463,30,131.560039
-15.868599,22,131.579499
-783.607268,1000,132.515071
-89.313347,88,132.597169
-6.327698,24,132.619226
-11.076597,25,132.641923
-26.399292,28,132.667719
-15.738975,30,132.694927
-6.247616,24,132.716892
-23.539863,20,132.735018
-48.673666,25,132.757747
-29.450746,15,132.771349
-7.955351,31,132.800475
-21.23729,45,132.842607
-18.204416,25,132.865407
-22.849384,18,132.883003
-842.496974,1000,134.113864
-34.448896,88,134.194038
-59.479216,74,134.26353
-8.954407,10,134.272132
-22.296935,40,134.308423
-40.435448,53,134.357937
-6.913785,19,134.375697
-42.231545,60,134.430008
12.239019,39,134.465659
-51.044984,78,134.538208
-13.356866,15,134.55231
-155.186427,148,134.687757
-6.315849,13,134.69918
-40.77508,43,134.738698
-16.621154,13,134.751756
-7.11542,24,134.773484
-61.162613,41,134.812302
-22.327567,25,134.835272
-15.329158,44,134.875592
-13.250573,13,134.888347
-10.281178,22,134.908273
-3.942839,23,134.930037
-809.941985,1000,136.154273
-16.976159,38,136.189353
11.831637,25,136.213896
-41.863896,48,136.256584
-36.104452,27,136.281107
-30.16238,15,136.295728
-48.456199,57,136.348501
39.466013,48,136.391591
-11.169892,13,136.403039
-21.703889,54,136.452416
-829.288531,1000,137.70033
-49.199287,68,137.762116
-9.369734,13,137.774021
-11.27811,15,137.788454
-39.622887,39,137.824849
-159.75618,235,138.325566
-12.163006,73,138.392392
-18.359028,14,138.405084
-12.328678,16,138.41986
-36.725646,26,138.4432
-9.233078,46,138.485021
-23.744024,15,138.49825
-1.443176,15,138.512548
-94.247906,77,138.586089
-5.431256,10,138.596756
-10.547717,19,138.614491
-13.335153,18,138.630523
-789.470447,1000,139.567647
-20.522943,33,139.598573
-151.432045,139,139.724985
-8.656154,21,139.743939
-7.312235,40,139.780099
19.4404,29,139.806539
-65.641711,38,139.841597
-65.840427,56,139.893142
-9.794409,14,139.905912
-11.745289,13,139.918808
-10.186241,18,139.93519
-18.193553,40,139.971648
-45.69292,55,140.021737
-6.193587,80,140.37947
-9.641109,33,140.409434
-20.900199,33,140.439649
-14.0355,26,140.462756
-29.751614,35,140.495184
-23.633288,28,140.520728
-787.649665,1000,141.47069
-789.623607,1000,142.689744
-8.791497,19,142.706286
-20.94679,24,142.728333
-70.37862,48,142.771747
-17.503061,15,142.785823
-7.250618,17,142.80158
-8.960741,26,142.826047
-54.936698,48,142.870728
-44.497707,55,142.927071
52.592323,72,142.992035
-16.846364,18,143.007848
-29.784061,23,143.028971
-477.026848,762,143.745806
1.881639,16,143.761283
-13.427414,19,143.778238
-35.269154,47,143.822013
-727.957542,1000,145.113265
-107.18749,109,145.237901
-7.878491,21,145.264758
-747.523722,1000,146.445538
-48.134676,33,146.475104
-27.485404,64,146.534951
-5.319642,7,146.544801
-44.470982,55,146.598935
-8.264735,28,146.624888
-13.222177,22,146.644808
-27.067994,45,146.686417
-113.93893,124,146.807466
-15.149987,22,146.828441
-41.79983,41,146.875916
-187.778998,163,147.032948
-7.626528,37,147.370672
-19.705871,68,147.442619
3.221393,18,147.459454
-75.765047,112,147.562567
-13.794617,20,147.580852
30.950537,41,147.618185
-15.969039,27,147.642718
0.046019,33,147.672598
-19.721215,64,147.73126
-42.482815,55,147.782223
-18.931357,18,147.798663
-19.249317,21,147.818897
-9.217031,12,147.830646
-23.651338,26,147.855227
-16.060243,67,147.915987
