#{"t_start": 1764885283.7526534, "env_id": "Ant-v5"}
r,l,t
657.150824,1000,653.968153
635.761821,1000,655.577556
655.152368,1000,657.172782
747.2286,1000,658.738247
630.539434,1000,660.302449
732.493689,1000,661.866143
664.559173,1000,663.420856
13.834339,17,663.445871
38.972105,51,663.531317
54.105631,49,663.608724
357.840688,623,667.771665
6.976936,33,667.819667
79.157618,95,667.962598
33.254903,126,668.153042
48.106967,42,668.224705
39.440585,36,668.278673
406.466936,759,669.449439
17.774703,18,669.475019
28.502201,150,669.70311
452.762852,1000,671.281433
90.529067,179,671.572112
326.03609,468,672.288701
320.804442,478,673.016261
99.321369,131,673.218984
519.108894,1000,674.769869
416.143777,1000,676.319109
61.436938,147,676.539712
69.313158,95,676.685238
382.681599,1000,678.2391
355.289964,1000,679.920402
343.406659,1000,681.47872
617.574488,1000,683.077098
480.236188,597,687.913469
538.317329,1000,689.516831
452.877255,1000,691.172955
588.507945,1000,692.762751
112.364733,147,692.989113
620.451548,1000,694.560587
11.841241,16,694.584582
273.435413,432,695.261167
13.026268,15,695.283863
70.408008,122,695.470465
149.943429,138,695.68053
33.149388,77,695.81248
424.56258,1000,697.370456
525.718242,1000,698.922315
546.246274,1000,700.741734
586.456169,1000,702.311819
185.900462,297,702.785651
705.94913,1000,707.580898
785.721736,1000,709.174177
849.19032,1000,710.736803
891.457193,1000,712.282562
805.496173,1000,713.842353
823.864722,1000,715.449253
816.731583,1000,717.027507
692.924411,1000,718.634116
837.369095,1000,720.204545
112.302195,158,720.455711
861.376519,1000,722.03921
855.717579,1000,727.505324
836.402536,1000,729.068643
62.016771,64,729.173215
836.636086,1000,730.749764
768.091956,1000,732.305043
563.296623,642,733.306497
271.98567,323,733.80959
645.501469,1000,735.369515
40.75705,107,735.532629
553.780942,1000,737.135065
85.416851,137,737.34247
47.968606,123,737.530222
548.852659,1000,739.161042
39.440086,76,739.276761
565.094333,1000,740.972377
499.753494,1000,746.398981
420.045257,610,747.345828
9.135616,14,747.3675
72.446557,107,747.526592
6.233111,76,747.642848
27.409017,39,747.699028
222.849996,1000,749.264967
32.45473,52,749.34889
325.114843,1000,750.926711
76.783856,106,751.170126
143.510637,300,751.647475
159.139185,319,752.155352
491.023402,1000,753.746354
461.874314,1000,755.381315
578.461043,1000,756.974156
32.359098,54,757.055949
618.67409,1000,758.609495
713.505493,1000,760.255849
824.559092,1000,765.876457
839.780653,1000,767.470182
754.26977,1000,769.043026
821.952876,1000,770.61827
771.000069,1000,772.1865
799.373169,1000,773.750932
40.501009,92,773.888791
811.849918,1000,775.435982
266.958656,206,775.749192
43.085465,45,775.816917
51.150914,46,775.894538
54.463878,54,775.976771
109.988021,129,776.173992
939.164144,1000,777.741054
101.497473,115,777.914606
927.862282,1000,779.501408
728.376139,1000,781.095734
735.117555,1000,786.708877
817.134174,1000,788.256169
628.406157,1000,789.816
37.750303,31,789.861824
600.435987,1000,791.418001
584.873411,1000,792.9786
549.655529,1000,794.5306
532.266831,1000,796.091255
25.430897,1000,797.697662
-182.535786,1000,799.284581
547.119549,1000,800.841322
582.265794,1000,806.37516
523.085538,1000,807.947609
492.099238,1000,809.730044
546.848139,1000,811.330019
625.14971,1000,812.968536
619.260139,1000,814.661966
656.236993,1000,816.35505
604.393602,1000,817.919743
500.704182,1000,819.494243
485.383212,1000,821.183123
459.387667,749,826.782728
317.599445,557,827.649822
83.287337,166,827.906913
92.79052,222,828.726501
386.456488,610,829.957455
68.551137,97,830.103451
62.816792,174,830.36853
65.285758,80,830.490288
670.40508,1000,832.081017
740.239663,1000,833.651301
740.544916,1000,835.236445
748.793299,1000,836.858358
775.080306,1000,838.476576
850.456175,1000,840.072113
613.887121,1000,841.685776
856.957797,1000,847.222676
810.892947,1000,848.800863
775.467587,1000,850.406543
861.330693,1000,851.995331
887.685343,1000,853.590901
849.281695,1000,855.223116
797.399158,1000,856.844392
795.708321,1000,858.446545
742.130648,1000,860.047468
833.832502,1000,861.658057
775.150567,1000,867.10829
408.017219,539,867.974422
225.234213,314,868.461076
542.923624,1000,870.138631
590.140013,1000,871.718767
676.765221,1000,873.344616
730.013638,1000,875.03317
404.581818,551,875.914425
638.148562,1000,877.488714
691.391067,1000,879.220696
545.043197,1000,880.911919
604.041437,1000,882.475799
354.833286,1000,887.864725
664.578362,1000,889.41774
162.529801,374,889.99581
179.426878,410,890.634011
492.985916,925,892.078067
31.923289,50,892.153435
645.041692,1000,893.733662
114.030373,138,893.941512
145.003429,157,894.180093
43.922725,38,894.235806
14.223601,36,894.301974
686.204693,1000,895.857134
364.246828,530,896.665159
464.46163,1000,898.213135
409.206804,1000,899.773138
391.089523,1000,901.331455
369.504739,773,905.590248
116.988611,192,905.895214
421.11104,1000,907.460705
531.977512,1000,909.048199
363.221629,1000,910.658968
461.997768,1000,912.279279
522.447304,1000,913.868803
582.682453,1000,915.449663
75.042122,106,915.618306
624.426476,1000,917.195333
538.833139,1000,918.760795
90.025992,330,919.27207
112.310697,480,920.025608
115.52074,1000,923.371381
86.301006,56,923.458675
-7.482518,41,923.528331
127.101917,419,924.207125
40.014248,136,924.430183
-8.833374,38,924.491734
28.407937,44,924.562903
30.759136,1000,926.12746
-0.685874,58,926.213778
185.402726,1000,927.776419
13.862095,45,927.845501
14.529887,16,927.869184
-0.267972,36,927.930116
-3.940344,24,927.964455
11.738421,92,928.106011
101.098358,466,928.829825
40.37896,346,929.369321
-14.902418,11,929.385563
8.042094,18,929.414093
